inspection_id,asset_id,department_id,inspection_date,result,condition_score,inspection_type
I001440,A00144,SNT,2026-06-12,PASS,97,ROUTINE
I001441,A00144,SNT,2026-07-27,PASS,62,ROUTINE
I001442,A00144,SNT,2026-05-13,PASS,73,ROUTINE
I001450,A00145,SNT,2026-06-15,PASS,58,ROUTINE
I001451,A00145,SNT,2026-04-01,PASS,69,ROUTINE
I001452,A00145,SNT,2026-05-16,ATTENTION,80,ROUTINE
I001460,A00146,TRD,2026-06-18,PASS,65,ROUTINE
I001461,A00146,TRD,2026-04-04,ATTENTION,76,ROUTINE
I001462,A00146,TRD,2026-05-19,PASS,87,ROUTINE
I001470,A00147,TRD,2026-06-21,ATTENTION,72,ROUTINE
I001471,A00147,TRD,2026-04-07,PASS,83,ROUTINE
I001472,A00147,TRD,2026-05-22,PASS,94,ROUTINE
I001480,A00148,TRD,2026-06-24,PASS,79,ROUTINE
I001481,A00148,TRD,2026-04-10,PASS,90,ROUTINE
I001482,A00148,TRD,2026-05-25,PASS,55,ROUTINE
I001490,A00149,TRD,2026-06-27,PASS,86,ROUTINE
I001491,A00149,TRD,2026-04-13,PASS,97,ROUTINE
I001492,A00149,TRD,2026-05-28,PASS,62,ROUTINE
I001500,A00150,TRD,2026-06-30,PASS,93,ROUTINE
I001501,A00150,TRD,2026-04-16,PASS,58,ROUTINE
I001502,A00150,TRD,2026-05-31,PASS,69,ROUTINE
